State,Year,Estimate (%)
Alabama,2009-10,1.6
Alaska,2009-10,0.9
Arizona,2009-10,0.9
Arkansas,2009-10,0.7
California,2009-10,0.9
Colorado,2009-10,NR †
Connecticut,2009-10,0.8
Delaware,2009-10,0.7
District of Columbia,2009-10,1.2
Florida,2009-10,1.1
Georgia,2009-10,1.5
Hawaii,2009-10,2.9
Idaho,2009-10,0.7
Illinois,2009-10,1
Indiana,2009-10,1
Iowa,2009-10,1.3
Kansas,2009-10,0.9
Kentucky,2009-10,1.1
Louisiana,2009-10,1.4
Maine,2009-10,0.5
Maryland,2009-10,1
Massachusetts,2009-10,1
Michigan,2009-10,0.8
Minnesota,2009-10,0.6
Mississippi,2009-10,0.7
Missouri,2009-10,0.7
Montana,2009-10,0.6
Nebraska,2009-10,1
Nevada,2009-10,1.1
New Hampshire,2009-10,0.4
New Jersey,2009-10,0.8
New Mexico,2009-10,1.2
New York,2009-10,0.5
North Carolina,2009-10,1.2
North Dakota,2009-10,0.9
Ohio,2009-10,1
Oklahoma,2009-10,0.8
Oregon,2009-10,0.5
Pennsylvania,2009-10,0.6
United States,2009-10,1
Region 1,2009-10,0.8
Region 2,2009-10,0.6
Region 3,2009-10,0.8
Region 4,2009-10,1.2
Region 5,2009-10,0.9
Region 6,2009-10,1.3
Region 7,2009-10,0.9
Region 8,2009-10,1.3
Region 9,2009-10,1
Rhode Island,2009-10,1
South Carolina,2009-10,0.7
South Dakota,2009-10,0.7
Tennessee,2009-10,0.9
Texas,2009-10,1.4
Region 10,2009-10,0.6
Utah,2009-10,0.8
Vermont,2009-10,NR †
Virginia,2009-10,1.1
Washington,2009-10,0.6
West Virginia,2009-10,0.7
Wisconsin,2009-10,0.7
Wyoming,2009-10,0.8
Alabama,2009-10,9.5
Alaska,2009-10,8.3
Arizona,2009-10,8.7
Arkansas,2009-10,6.3
California,2009-10,6.5
Colorado,2009-10,9.7
Connecticut,2009-10,7.8
Delaware,2009-10,8.2
District of Columbia,2009-10,9.8
Florida,2009-10,7.7
Georgia,2009-10,9
Hawaii,2009-10,12.4
Idaho,2009-10,6.8
Illinois,2009-10,8.1
Indiana,2009-10,8.4
Iowa,2009-10,10.4
Kansas,2009-10,9.9
Kentucky,2009-10,9.6
Louisiana,2009-10,7.8
Maine,2009-10,7
Maryland,2009-10,9.6
Massachusetts,2009-10,10.3
Michigan,2009-10,7.6
Minnesota,2009-10,10.6
Mississippi,2009-10,6.4
Missouri,2009-10,7.8
Montana,2009-10,6.5
Nebraska,2009-10,9
Nevada,2009-10,6.2
New Hampshire,2009-10,7.3
New Jersey,2009-10,7.9
New Mexico,2009-10,9.2
New York,2009-10,7
North Carolina,2009-10,8.1
North Dakota,2009-10,9.1
Ohio,2009-10,8.5
Oklahoma,2009-10,7.1
Oregon,2009-10,8.2
Pennsylvania,2009-10,8.1
United States,2009-10,8.2
Region 1,2009-10,8.9
Region 2,2009-10,7.3
Region 3,2009-10,9.1
Region 4,2009-10,8.2
Region 5,2009-10,8.3
Region 6,2009-10,8.9
Region 7,2009-10,9
Region 8,2009-10,8.9
Region 9,2009-10,6.9
Rhode Island,2009-10,10.7
